stage,normal,mob_boss,Stage,name_difficulty_enemys_type_
Ground,0_0_0,26_1_55,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
Ground,0_0_-55,26_1_55,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
way,-28.5_0_-66.83,31.1_1_31.1,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
way,-28.5_0_-35.9,31.1_1_31.1,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
way,-28.5_0_-4.81,31.1_1_31.1,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
way,-28.5_0_26.24,31.1_1_31.1,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
way,-28.5_0_56.82,31.1_1_31.1,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
way,28.49999_0_-66.83,31.1_1_31.1,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
way,28.49999_0_-35.9,31.1_1_31.1,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
way,28.49999_0_-4.81,31.1_1_31.1,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
way,28.49999_0_26.24,31.1_1_31.1,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
way,0.05_0_49.9,26_1_45.16717,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
way,28.49999_0_56.82,31.1_1_31.1,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
building,23_8_21.68,10_15_10,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
building,23_8_34.29,10_15_10,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
building,23_8_48.79,10_15_10,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
building,-23_8_21.68,10_15_12,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
building,-23_8_40.99,10_15_12,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
building,-1.32_6_40.16,20.987_11.43615_12,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
building,-23_8_9.27,10_15_10,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
building,-23_5.5_-7.59,10_10_20,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
building,-23_7.5_-29.67,10_14_15,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
building,23_6.75_2.16,10_12.5_20,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
building,23_8_-13.49,10_15_8,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
building,23_8_-28.42,10_15_10,0_0_0,Untagged,Object,name_position_scale_rotation_tag_type_
area,-13_2_-4.44,47.57091_5_1,0_90_0,Untagged,Object,name_position_scale_rotation_tag_type_
area,0_2_18.43,1_5_25,0_90_0,Untagged,Object,name_position_scale_rotation_tag_type_
area,0_2_-28,1_5_25,0_90_0,Untagged,Object,name_position_scale_rotation_tag_type_
area,12.19_2_-4.44,47.57091_5_1,0_90_0,Untagged,Object,name_position_scale_rotation_tag_type_
player,-0.75_1_-26,0.75_0.75_0.75,0_0_0,Untagged,50,Player,name_position_scale_rotation_tag_hp_type_
wave,1,5,1,Wave,name_wave_max_interval_type_
enemy,-8.4_2_-23,0.7_0.7_0.7,0_0_0,Untagged,1,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-6.6_2_-21,0.7_0.7_0.7,0_0_0,Untagged,1,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-6.8_2_-23,0.7_0.7_0.7,0_0_0,Untagged,1,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,7_2_-23,0.7_0.7_0.7,0_0_0,Untagged,1,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,6.8_2_-23,0.7_0.7_0.7,0_0_0,Untagged,1,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,0_2_-19,0.7_0.7_0.7,0_0_0,Untagged,1,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,4.9_2_-21,0.7_0.7_0.7,0_0_0,Untagged,1,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,5.5_2_-20,0.7_0.7_0.7,0_0_0,Untagged,1,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,1.4_2_-19,0.7_0.7_0.7,0_0_0,Untagged,1,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-5.5_2_-19,0.7_0.7_0.7,0_0_0,Untagged,1,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-5.5_2_-20,0.7_0.7_0.7,0_0_0,Untagged,1,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-9.1_2_-19,0.7_0.7_0.7,0_0_0,Untagged,1,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
wave,2,5,1,Wave,name_wave_max_interval_type_
enemy,7_2_-18,0.7_0.7_0.7,0_0_0,Untagged,2,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,6.8_2_-18,0.7_0.7_0.7,0_0_0,Untagged,2,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-6.6_2_-16,0.7_0.7_0.7,0_0_0,Untagged,2,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-6.8_2_-18,0.7_0.7_0.7,0_0_0,Untagged,2,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-8.4_2_-17,0.7_0.7_0.7,0_0_0,Untagged,2,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,0_2_-14,0.7_0.7_0.7,0_0_0,Untagged,2,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,4.9_2_-16,0.7_0.7_0.7,0_0_0,Untagged,2,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,5.5_2_-15,0.7_0.7_0.7,0_0_0,Untagged,2,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,1.4_2_-14,0.7_0.7_0.7,0_0_0,Untagged,2,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-5.5_2_-14,0.7_0.7_0.7,0_0_0,Untagged,2,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-5.5_2_-15,0.7_0.7_0.7,0_0_0,Untagged,2,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
